2023-03-21 19:58:34, bf7250fc-e85f-4b4a-bcac-a11125e50424, 47.054848 + 'MB',74.203136 + 'MB'
2023-03-21 20:00:14, 12ef446a-5829-4b01-bba4-3ae203b31407, 34.701312 + 'MB',74.46528 + 'MB'
